# spec/vocabulary-sources.tsv — machine-readable half of spec/syntax-style.md
#
# One row per registered OPTION KEY, per POSITIONAL value shape, and per
# KEYWORD spelling. Tab-separated; lines beginning with "#" are comments;
# the first non-comment line is the header row.
#
# Every `shape` and `accepted_syntax` value below was derived by RUNNING the
# reference parser (editor/figdown.html @ 0.1), not from prose. Where
# a genre document or core.md disagrees with the parser, the row records the
# PARSER and the disagreement is listed in syntax-style.md §10.
#
# THE `source` COLUMN WAS RE-DERIVED. Every attribution
# below was checked against the PRIMARY source — the standard's own grammar,
# schema or reference text — and the row records the quote or the negative.
# The previous revision was wrong in BOTH directions: it marked ~87 of ~124
# rows `FigDown` including `node`, `edge`, `group`, `shape`, `style`, `title`,
# `table`, `cell`, `bitfield` and `gap`, all of which ARE borrowed; and it
# attributed `numbering` and `src`/`dst` to IETF, which no IETF document
# supports. Rows whose attribution moved carry `ATTRIBUTION CORRECTED
# 0.1` in `exception_reason`; rows where the rename moved AWAY from an
# attested spelling say so in capitals (there are exactly two: `plane` and
# `field.conditional`).
#
# COLUMNS
#   key               row id WITHIN its `kind`; the table's primary key is the
#                     pair (kind, key). FIVE spellings appear once as an option
#                     and once as a keyword — `class` `gap` `layer` `routing`
#                     `width` — which is a fact about the language, not a
#                     duplicate row. `layer` is retired in both namespaces and
#                     `routing` is WITHDRAWN in both (`EDGE-GEOMETRY-CONSTRUCTS`); both
#                     still occupy two rows apiece, for the same reason every
#                     other retired spelling does — the engine owes each
#                     registration its own named diagnostic.
#                     Option keys use the bare spelling; a key
#                     that carries two value shapes or two registration kinds
#                     is split as `<key>.<directive>`. Positionals use
#                     `<directive>.<slot>`. Keywords use the bare keyword
#                     (`|` is spelled `pipe`).
#                     A RETIRED spelling keeps its own row, so the table is
#                     also the retirement registry: `layer` appears once as a
#                     retired keyword and once as a retired option key, which
#                     is the same fact about the language that the live
#                     `plane`/`plane=` pair records.
#                     A WITHDRAWN spelling keeps its row too, and 0.1
#                     (`EDGE-GEOMETRY-CONSTRUCTS`) is the first case: `path` and `routing` and the
#                     option keys `points=` `tailport=` `headport=` `routing=`
#                     were removed from the language rather than renamed, so
#                     their rows carry status `retired` with NO successor to
#                     point at — the one thing that distinguishes a withdrawal
#                     from every other retirement in this table.
#                     Deleting them was considered and REJECTED, and the reason
#                     is worth having on the record: three of the rows here
#                     (`word`, `pin`, and `via`/`src`/`dst`) cite the withdrawn
#                     attributions as standing precedent, core §10 keeps all six
#                     REGISTERED as retired diagnostics because a registration
#                     counts whether or not it has a live acceptor, and the
#                     engine still owes each one a named diagnostic. A table
#                     that is the retirement registry cannot drop the entries
#                     that make it one. The COUNTS below therefore count LIVE
#                     registrations only, exactly as they did before — a
#                     withdrawn row is present and uncounted, like every retired
#                     row beside it.
#   kind              option | positional | keyword | mark
#                     `mark` entered the table. syntax-style.md
#                     §11 promises this file is "the machine-readable half of
#                     the punctuation scheme", and until then that promise held
#                     for KEYS and VALUE SHAPES only: §1 is about MARKS, and
#                     `#` `;` `"` `\` `,` `( )` `[ ]` `..` `^^` `||` had no
#                     rows at all. A mark row's `key` is the mark's NAME (the
#                     characters themselves are not safe TSV primary keys), its
#                     `source_spelling` is the literal mark, and its
#                     `accepted_syntax` states the mark's ROLE and where it is
#                     ordinary text. Marks are not counted in the option-key or
#                     keyword totals below — they are a fourth namespace, not
#                     more members of the first three.
#   source            the standard the SPELLING is borrowed from:
#                     SVG CSS DOT IETF ISO GFM multimd Mermaid D2 WaveDrom
#                     HTML C ECharts Grafana Highcharts FigDown
#                     (`Mermaid D2 WaveDrom HTML C` extend the enum named in
#                     the style-guide brief; see syntax-style.md §4.1 — the
#                     genre docs cite all five and none is expressible as one
#                     of the eight. `ECharts` was added for the
#                     two chart rows: no member of the older enum has any
#                     charting primitive at all, and recording the chart
#                     vocabulary as coined would have been false.
#                     `Grafana` and `Highcharts` were added for
#                     the two scalar-marker rows: no member of the older enum
#                     has a threshold or a value-band primitive at all, and
#                     both were recorded as coined, which was false in both
#                     cases. FigDown = coined by this project.)
#                     Two VALUE SETS come from standards outside the enum and
#                     are recorded in `conflicts` rather than in `source`,
#                     because the KEY they sit under is coined here:
#                     `numbering=lsb0|msb0` is Accellera SystemRDL 2.0's, and
#                     `type=bar3d` is matplotlib's exact spelling.
#                     `ISO` entered the table (`FLOWCHART-ROLE-KEYWORDS`) with three
#                     rows: the flowchart role keywords `process`, `decision`
#                     and `terminator`, taken whole from ISO 5807. Until then
#                     no ISO vocabulary was borrowed, because `shape=` is
#                     purely geometric (`SHAPE-ENUM-VOCABULARY`/`EXTERNAL-EDGE-ENDPOINTS`) and the role vocabulary had
#                     not been designed. ISO 5807's symbol vocabulary is
#                     Process, Decision, Predefined process, Manual operation,
#                     Preparation, Parallel mode, Loop limit, Data, Stored
#                     data, Manual input, Document, Line, Control transfer,
#                     Communication link and Dashed line, plus Terminator
#                     (§9.4.2) — SIXTEEN names, twelve of them stage symbols
#                     and four line symbols. FigDown borrows THREE stage roles
#                     plus `flowline` for the Line, and records the rest as
#                     excluded with measured evidence (genres/flowchart.md
#                     §Roles, *What is excluded*): the two-word names fail
#                     `GENRE-DOCUMENT-CONTRACT` §6(a), and the media symbols have no corpus demand.
#                     The symbol-by-symbol COVERAGE view (spelled / partial /
#                     gap, with the measurement that would close each gap) is
#                     the project’s working record, added 0.2 (`BARE-NODE-MEANING`).
#                     THE LIST IS THIS REPOSITORY'S RECORD, NOT A READING of
#                     the standard: it contains no Connector, no Comment and
#                     no Ellipsis row, and whether ISO 5807 defines them is
#                     UNKNOWN rather than no.
#                     ONE VERIFICATION IS OPEN: ISO 5807 §9.4.2 was not
#                     available (paywall; pp. 1-8 of 25 only), so the spelling
#                     `terminator` rests on draw.io, Visio and secondary
#                     sourcing, against ANSI X3.5-1970 and Mermaid which say
#                     `Terminal`. `Z-ORDER-KEY-NAMING` decides it once the clause is read.
#   source_spelling   how that standard spells it (`-` when coined here)
#   shape             point | point-list | scalar-px | scalar-percent |
#                     scalar-int | scalar-number | enum | enum-or-point |
#                     colour | range | id-ref | id-ref-list | string |
#                     string-list | flag | none | mark
#                     (`mark` is the shape of every `kind=mark` row and of no
#                     other row: a mark has a ROLE, not a value grammar.)
#                     (`scalar-number` and `enum-or-point` extend the enum
#                     named in the brief; see syntax-style.md §11.)
#   accepted_syntax   what the parser accepts, as a regex or literal set
#   status            normative | experimental | retired
#                     (`scheduled-rename` was a fourth value until this release;
#                     every row that carried it has now either been renamed or
#                     ruled to keep its spelling, so the value is gone and no
#                     row may reintroduce it — a scheduled rename is a rename
#                     that has not happened, which is exactly the state this
#                     table exists to make impossible to leave lying around)
#   conflicts         a foreign standard that spells this differently or
#                     means something else by it; `-` if none known
#   exception_reason  NON-EMPTY only where the row breaks a rule stated in
#                     syntax-style.md; names the rule and the release
key	kind	source	source_spelling	shape	accepted_syntax	status	conflicts	exception_reason
# ---------------------------------------------------------------- option keys (46 rows here for 45 distinct spellings).
# The header read `42 registered` in an earlier release and that figure was already stale: core.md §10 re-derives it row by row and
# records that 0.1 registered `description` (`DESCRIPTION-KEY-SPELLING`) and `present` (`PRESENCE-CONDITION-EXPRESSION`) without recounting — 42 + 2 = 44 distinct keys in 45 rows; 0.1
# registered `index` (`BITFIELD-REPETITION-CONSTRUCT`, the bitfield repetition range), making it 45 distinct keys in 46 rows, the
# two NORMATIVE rows spelled `fill` being ONE key with two registrations. `EDGE-GEOMETRY-CONSTRUCTS` changed NO total here: `points` `routing` `tailport`
# `headport` — all four accepted only by the withdrawn `path` — keep their rows with status `retired`, which is the same treatment `via`
# `src` `dst` `w` `h` `dir` `kind` `level` and `text` already get. THIS AGREES WITH core.md §10, deliberately: a registration counts there
# whether or not it has a live acceptor, the engine still owes each spelling a named diagnostic, and a table that doubles as the retirement
# registry cannot drop the entries that make it one. Deleting the four was considered on the ground that this table attributes
# a LIVE spelling to the standard it was borrowed from — and rejected, because three surviving rows (`word`, `pin`, and `via`/`src`/`dst`)
# cite the withdrawn attributions as standing precedent, so deleting them would have left three arguments pointing at nothing. `level`
# stayed registered as a retired diagnostic (figdown.html:321-323); that convention is unchanged and covers all four.
at	option	FigDown	-	point	`(<x>,<y>)` — a PAREN POINT in canvas px, `pin` only; components -?\d+(\.\d+)?. It is the PLACEMENT key of the three the line may carry, not the whole of it: (`ELEMENT-GEOMETRY-DIRECTIVE`) `pin` also takes `width=`/`height=`, and every one of the three is optional (a `pin` with none of them is a line error). `at=` is the one with the WIDER domain — nodes, groups and `external` endpoints alike; the extent keys are nodes only. The bare comma pair was retired (RULE 1.1a).	normative	DOT spells node position `pos=` (neato/fdp only); CSS basic shapes use the WORD `at` to introduce a position (`circle() = circle(<radial-size>? [ at <position> ]?)`) but never as a key. Verified negative in Graphviz's 176 attributes, the SVG 1.1/2 attribute indexes, D2's keyword table and Mermaid.	-
offset	option	SVG	offset	scalar-percent	\d+(\.\d+)?% in [0,100], the `%` is MANDATORY; `threshold` only. Renamed from `at=` (`TEXT-COLOUR-KEY-NAMING` family) so no key carries two value shapes. The host directive was spelled `guide` until this release (`THRESHOLD-KEYWORD-SPELLING`).	experimental	SVG's `offset` is on `<stop>` (gradient position) and on `feFunc*` (gamma constant); there is NO `offset` on `<mpath>`/`<animateMotion>`. CSS's positional analogue is `offset-distance`.	-
class	option	Mermaid	classDef / class	id-ref-list	<id>(<id>)* bare ids, ID_RE per element, no whitespace tolerated (figdown.html:373-382)	normative	CSS/HTML `class` — same meaning, aligned	-
fill	option	SVG	fill	colour	#rgb | #rrggbb | one of 147 lowercase CSS colour names | transparent (figdown.html:143)	normative	-	-
fill.interiorless	option	SVG	fill	colour	RETIRED on `edge` `threshold` `bundle` (`INTERIOR-LESS-ELEMENT-PAINT`): no interior, so `fill=` and `stroke=` named one channel and `stroke=` won silently. Line error naming `stroke=`. A CLASS that sets `fill=` with no `stroke=` and is used by an edge is a line error too.	retired	-	-
stroke	option	SVG	stroke	colour	same value set as `fill`. NORMATIVE (`STROKE-KEY-STATUS`): it is the OUTLINE of anything with an interior and the WHOLE of a line (`edge`, `bundle` ring, `threshold`) — SVG's own asymmetry (`<rect stroke>` vs `<line stroke>`), corroborated by mxGraph `strokeColor`, D2 `style.stroke` ("applies to shapes and connections") and Mermaid `linkStyle … stroke:`. `CONSTRUCT-STATUS-TIERS` had demoted it on 5 in-repo uses; re-measured at 56+ in-repo and 567 downstream edge-colouring sites.	normative	-	-
text	option	FigDown	-	colour	RETIRED 0.1 (`TEXT-COLOUR-KEY-NAMING`): renamed to `color=`, which 0.1 retired in turn (`COLOUR-KEY-STATUS`). v0.1 has NO label-colour key; the default is derived from the background's WCAG relative luminance (core §5, `LABEL-COLOUR-SOURCE`).	retired	-	-
style	option	DOT	style	enum	solid | dashed | dotted, BARE — a quoted value is a line error (RULE 2.4, `RULE-POSITION-ENUMERATION`). Acceptors: node (incl. process/decision/terminator) group edge bundle threshold band class. `field` `cell` `signal` LOST the key (`STYLE-KEY-SCOPE`) — on a field it could erase the dash that is `optional`'s only carrier while the model kept the flag, which is `PRESENTATION-AS-MEANING-CARRIER`'s prohibition.	normative	DOT's `style` is a COMMA LIST mixing stroke, fill and visibility (`filled` `invis` `rounded` `striped` …); FigDown narrows it to the line-style members. HTML/SVG `style` is inline CSS. CSS's true line-style enum is `border-style` (`<line-style> = none|hidden|dotted|dashed|solid|double|groove|ridge|inset|outset`).	ATTRIBUTION CORRECTED 0.1: was `FigDown`. Graphviz documents the values verbatim — "For nodes and edges: dashed dotted solid invis bold".
in	option	Mermaid	in	id-ref	<group-id> on `node` (containment) · <node-or-group-id> on `threshold`/`band` (annotation target)	normative	SVG's filter-primitive `in` ("Identifies input for the given filter primitive") is an unrelated homonym; D2 has no `in`.	DECLARED EXCEPTION (§8.1): one key, two relations; kept because the relations are disjoint per directive. ATTRIBUTION CORRECTED 0.1: was `FigDown`. Mermaid architecture-beta: `group private_api(cloud)[Private API] in public_api`.
plane	option	FigDown	-	id-ref	id of a declared `plane`; unknown id is a line error (figdown.html:1349). Spelled `layer=` until this release (`PLANE-KEYWORD-SPELLING`).	experimental	COINED, and the near-concept is attested elsewhere under `layer` with INCOMPATIBLE semantics: mxGraph makes a layer a containment PARENT establishing coordinates, Inkscape layers are `<g>` and may carry a transform, OGC WMS requires an `<SRS>` per layer, Graphviz layers are separate OUTPUT OVERLAYS, CSS `@layer` is cascade priority. SVG has no layer at all.	RENAME AWAY FROM AN ATTESTED SPELLING (`PLANE-KEYWORD-SPELLING`) — the one place this table records a move from a borrowed word to a coined one. Accepted because every attestation carries a different meaning; see requirements-notes `PLANE-KEYWORD-SPELLING` for the objection.
layer	option	DOT	layer	id-ref	no acceptor; named diagnostic -> `plane=` (`PLANE-KEYWORD-SPELLING`)	retired	Graphviz `layer` = "Specifies layers in which the node, edge or cluster is present", an OUTPUT OVERLAY, not a paint plane	-
z-index	option	CSS	z-index	scalar-int	-?\d+ integer; `plane` only. Spelled `z=` until this release (`Z-ORDER-KEY-NAMING`).	experimental	-	MISSING ROW ADDED 0.1 — the live key had no row while its retired predecessor did.
z	option	CSS	z-index	scalar-int	RETIRED 0.1 (`Z-ORDER-KEY-NAMING`): renamed to `z-index=`, CSS's spelling taken in full (RULE 4.2).	retired	-	-
gap	option	CSS	gap	scalar-px	\d+(\.\d+)? non-negative, `gap=0` legal (figdown.html:1035)	normative	the `timing` CHILD KEYWORD `gap <cycle>` is a different concept (timing.md:128-134); namespaces disjoint	-
